PLAYER_ID,PLAYER_NAME,scoring_average,SG_OTT,SG_APP,SG_ATG,SG_PUTTING,sg_ttg,birdie_avg,driving_dist_yds,gir_pct
12716,"Charley Hoffman",71.041,0.098,0.035,0.049,-0.252,0.183,4.04,302.4,0.6439
22371,"Aaron Baddeley",71.367,-0.781,-0.372,0.415,0.61,-0.737,3.69,282.1,0.6215
22405,"Justin Rose",71.64,-0.13,-0.427,-0.021,0.02,-0.578,3.71,297.8,0.6209
23108,"Matt Kuchar",71.354,-0.37,-0.562,0.196,0.452,-0.736,2.96,286.3,0.5951
23320,"Ryan Palmer",71.649,0.153,-0.475,-0.086,-0.304,-0.408,3.56,299,0.6358
24024,"Zach Johnson",70.789,-0.136,-0.018,0.032,0.453,-0.121,4.16,283.5,0.6748
24502,"Adam Scott",70.181,0.356,0.126,0.007,0.319,0.49,3.8,306.2,0.6646
25493,"Nick Taylor",71.223,-0.211,0.291,0.093,0.061,0.173,3.65,290.7,0.629
25900,"Lucas Glover",70.909,-0.024,0.523,0.143,-0.346,0.642,3.86,287.5,0.6675
26476,"Chez Reavie",71.358,-0.512,0.44,0.282,-0.455,0.21,3.71,286.2,0.6768
26596,"Ryan Moore",71.326,0,0.431,0.23,-0.533,0.661,3.34,288.1,0.6789
27064,"Jhonattan Vegas",70.619,0.694,0.41,-0.18,-0.636,0.924,3.98,310.9,0.7281
27129,"Luke List",71.539,0.067,0.018,-0.361,-0.086,-0.276,3.66,301.5,0.6635
27139,"David Skinns",71.001,-0.006,0.36,-0.133,-0.043,0.22,3.96,303.3,0.6968
27214,"Kevin Streelman",71.502,-0.129,0.047,-0.018,-0.281,-0.1,3.85,294.3,0.6615
27349,"Alex Noren",70.05,0.168,0.329,0.422,0.145,0.919,3.74,293.4,0.6891
27644,"Brian Harman",70.323,0.048,0.35,0.19,0.357,0.588,3.94,291.6,0.6592
27649,"Brandt Snedeker",72.962,-0.56,-0.904,-0.062,-0.206,-1.526,3.27,281.9,0.6217
27770,"Camilo Villegas",73.114,-1.063,-0.368,-0.099,-0.616,-1.531,3.56,282.5,0.6426
27936,"Martin Laird",71.144,-0.396,-0.273,0.398,0.191,-0.271,3.72,288.8,0.6755
28089,"Jason Day",70.836,0.128,-0.374,0.223,0.614,-0.022,4.1,301.4,0.6355
28237,"Rory McIlroy",69.429,0.921,0.397,0.303,0.275,1.621,4.27,319.3,0.6667
28252,"Seamus Power",71.154,-0.08,0.187,0.018,-0.127,0.125,3.6,296.9,0.6624
28420,"Ryan Brehm",72.937,0.011,-0.618,-0.567,-0.327,-1.174,3.12,305.3,0.6264
28775,"Nate Lashley",70.919,-0.163,0.093,0.264,0.269,0.195,3.73,291,0.668
29221,"Webb Simpson",71.126,0.047,-0.409,0.635,-0.448,0.273,3.37,299.2,0.6138
29420,"Billy Horschel",70.036,0.17,-0.113,0.144,0.551,0.201,3.83,298.5,0.6548
29478,"Kevin Kisner",73.096,-0.856,-0.702,-0.51,0.185,-2.067,3.1,285.3,0.6049
29725,"Tony Finau",70.216,0.166,0.865,0.361,-0.197,1.391,4.28,308,0.6903
29908,"C.T. Pan",70.591,-0.058,0.107,0.462,-0.01,0.512,3.6,292.9,0.6693
29936,"Ryan Fox",70.843,0.04,0.033,-0.29,0.271,-0.216,3.73,309.3,0.6438
30911,"Tommy Fleetwood",70.385,0.268,0.003,0.259,0.151,0.53,3.65,298.3,0.6676
30926,"Chris Kirk",71.077,0.288,0.19,0.128,-0.427,0.606,4.14,296.6,0.6465
30927,"Brendon Todd",71.119,-0.49,-0.175,0.317,0.33,-0.348,3.66,279,0.6369
