RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,0,46046,Scottie Scheffler,4.98,294,59
2,4,50525,Collin Morikawa,4.46,263,59
3,-1,33948,Byeong Hun An,4.42,261,59
4,0,35532,Tom Hoge,4.40,321,73
4,0,39975,Michael Kim,4.40,255,58
6,5,34587,Chan Kim,4.37,262,60
7,1,51766,Wyndham Clark,4.35,239,55
8,6,46717,Viktor Hovland,4.33,186,43
8,-1,39546,Keith Mitchell,4.33,264,61
10,-7,48081,Xander Schauffele,4.32,272,63
11,9,50484,Hayden Springer,4.30,202,47
12,4,32757,Patton Kizzire,4.29,176,41
13,-3,29725,Tony Finau,4.28,278,65
13,11,57975,Harry Hall,4.28,261,61
13,5,39971,Sungjae Im,4.28,287,67
16,-3,28237,Rory McIlroy,4.27,235,55
16,-7,58168,Davis Thompson,4.27,299,70
18,-7,46442,Maverick McNealy,4.25,255,60
19,-3,59866,Nick Dunlap,4.22,232,55
19,-5,33448,Justin Thomas,4.22,215,51
21,6,52955,Ludvig Åberg,4.21,240,57
21,21,59836,Pierceson Coody,4.21,223,53
23,24,37275,Sam Ryder,4.20,231,55
24,-4,35450,Patrick Cantlay,4.19,222,53
25,-1,52514,Trace Crowe,4.18,167,40
25,-3,49771,J.T. Poston,4.18,280,67
25,-7,34046,Jordan Spieth,4.18,251,60
28,-5,40006,Erik van Rooyen,4.17,263,63
29,4,60004,Jacob Bridgeman,4.16,208,50
29,-5,24024,Zach Johnson,4.16,158,38
29,-1,55182,Tom Kim,4.16,308,74
32,-4,47504,Sam Burns,4.14,236,57
32,-4,30926,Chris Kirk,4.14,244,59
34,8,51634,Sahith Theegala,4.12,276,67
35,15,39997,Corey Conners,4.11,292,71
35,2,50188,S.H. Kim,4.11,312,76
35,-3,57366,Cameron Young,4.11,267,65
35,7,52513,Carson Young,4.11,230,56
39,-6,28089,Jason Day,4.10,250,61
39,-11,33653,Thomas Detry,4.10,246,60
39,7,33399,Adam Hadwin,4.10,250,61
39,-6,36799,Stephan Jaeger,4.10,250,61
39,-6,34213,Grayson Murray,4.10,168,41
44,-7,40162,Justin Lower,4.09,274,67
44,25,46113,Ryan McCormick,4.09,176,43
44,27,32640,Troy Merritt,4.09,233,57
47,-10,51600,Jimmy Stanger,4.08,159,39
47,-10,48887,Matt Wallace,4.08,208,51
49,3,46414,Aaron Rai,4.06,280,69
49,3,38991,Alejandro Tosti,4.06,203,50
51,-4,56630,Akshay Bhatia,4.04,279,69
51,-1,54591,Ben Griffin,4.04,315,78
51,1,12716,Charley Hoffman,4.04,190,47
51,36,59143,Mac Meissner,4.04,214,53
51,24,54783,Dylan Wu,4.04,230,57
56,0,40098,Matt Fitzpatrick,4.02,237,59
56,15,51977,Max Greyserman,4.02,229,57
56,-4,40250,Taylor Pendrith,4.02,237,59
56,-15,57900,Chandler Phillips,4.02,229,57
56,-14,45242,Kevin Yu,4.02,221,55
61,-5,55893,Sam Stevens,4.01,273,68
62,-6,33141,Keegan Bradley,4.00,228,57
62,-15,51997,Andrew Novak,4.00,236,59
62,9,46441,Robby Shelton,4.00,220,55
65,2,47591,Eric Cole,3.99,315,79
66,16,51696,Rico Hoey,3.98,203,51
66,-6,35461,Beau Hossler,3.98,243,61
66,-6,33204,Shane Lowry,3.98,219,55
66,-6,27064,Jhonattan Vegas,3.98,163,41
70,-10,51349,Nico Echavarria,3.97,246,62
71,-11,27139,David Skinns,3.96,202,51
72,-13,36801,Mark Hubbard,3.95,288,73
72,8,37455,Si Woo Kim,3.95,288,73
72,-12,47995,Davis Riley,3.95,221,56
75,-6,27644,Brian Harman,3.94,264,67
75,-15,51287,Ryo Hisatsune,3.94,244,62
77,7,60067,Joe Highsmith,3.93,173,44
77,13,52215,Robert MacIntyre,3.93,232,59
79,-5,45522,Christiaan Bezuidenhout,3.92,243,62
79,-11,48867,Matti Schmid,3.92,200,51
81,5,45157,Cam Davis,3.91,250,64
81,-3,47420,Jake Knapp,3.91,262,67
81,-6,55789,Taylor Montgomery,3.91,168,43
84,25,35310,Lanto Griffin,3.90,187,48
84,18,33968,Thorbjørn Olesen,3.90,164,42
